index,id,beer_name,style,ounces,abv,brewery_id,brewery_name,city,state
22,1036,Lower De Boom,American Barleywine,8.4,0.099,368,21st Amendment Brewery,San Francisco,CA
1,1436,Pub Beer,American Pale Lager,12.0,0.05,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil's Cup,American Pale Ale (APA),12.0,0.066,177,18th Street Brewery,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12.0,0.071,177,18th Street Brewery,Gary,IN
4,2263,Sinister,American Double / Imperial IPA,12.0,0.09,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,12.0,0.075,177,18th Street Brewery,Gary,IN
6,2261,Black Exodus,Oatmeal Stout,12.0,0.077,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.05,177,18th Street Brewery,Gary,IN
8,2259,Foreman,American Porter,12.0,0.065,177,18th Street Brewery,Gary,IN
9,2258,Jade,American Pale Ale (APA),12.0,0.055,177,18th Street Brewery,Gary,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.086,177,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,177,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,177,18th Street Brewery,Gary,IN
14,1980,Troll Destroyer,Belgian IPA,12.0,0.085,177,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),12.0,0.06,177,18th Street Brewery,Gary,IN
16,2318,Ginja Ninja,Cider,12.0,0.06,154,2 Towns Ciderhouse,Corvallis,OR
17,2170,Cherried Away,Cider,12.0,0.06,154,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12.0,0.06,154,2 Towns Ciderhouse,Corvallis,OR
19,1502,BrightCider,Cider,12.0,0.06,154,2 Towns Ciderhouse,Corvallis,OR
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,368,21st Amendment Brewery,San Francisco,CA
21,1592,He Said Belgian-Style Tripel,Tripel,12.0,0.082,368,21st Amendment Brewery,San Francisco,CA
23,1024,Fireside Chat,Winter Warmer,12.0,0.079,368,21st Amendment Brewery,San Francisco,CA
24,976,Marooned On Hog Island,American Stout,12.0,0.079,368,21st Amendment Brewery,San Francisco,CA
25,876,Bitter American,American Pale Ale (APA),12.0,0.044,368,21st Amendment Brewery,San Francisco,CA
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,368,21st Amendment Brewery,San Francisco,CA
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.05,368,21st Amendment Brewery,San Francisco,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,368,21st Amendment Brewery,San Francisco,CA
29,799,21st Amendment IPA (2006),American IPA,12.0,0.07,368,21st Amendment Brewery,San Francisco,CA
30,797,Brew Free! or Die IPA (2008),American IPA,12.0,0.07,368,21st Amendment Brewery,San Francisco,CA
31,796,Brew Free! or Die IPA (2009),American IPA,12.0,0.07,368,21st Amendment Brewery,San Francisco,CA
32,531,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,368,21st Amendment Brewery,San Francisco,CA
33,432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,368,21st Amendment Brewery,San Francisco,CA
34,353,Bitter American (2011),American Pale Ale (APA),12.0,0.044,368,21st Amendment Brewery,San Francisco,CA
35,321,Fireside Chat (2010),Winter Warmer,12.0,0.08,368,21st Amendment Brewery,San Francisco,CA
36,173,Back in Black,American Black Ale,12.0,0.07,368,21st Amendment Brewery,San Francisco,CA
37,11,Monk's Blood,Belgian Dark Ale,12.0,0.083,368,21st Amendment Brewery,San Francisco,CA
38,10,Brew Free! or Die IPA,American IPA,12.0,0.07,368,21st Amendment Brewery,San Francisco,CA
39,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.049,368,21st Amendment Brewery,San Francisco,CA
40,2519,Bimini Twist,American IPA,12.0,0.07,67,3 Daughters Brewing,St Petersburg,FL
41,2518,Beach Blonde,American Blonde Ale,12.0,0.05,67,3 Daughters Brewing,St Petersburg,FL
42,2517,Rod Bender Red,American Amber / Red Ale,12.0,0.059,67,3 Daughters Brewing,St Petersburg,FL
43,2545,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,60,4 Hands Brewing Company,Saint Louis,MO
